Product Title,Product Price,Warranty Period (Months),Accesorises warranty,Warranted by,SKU,Manufacturer Number,processor type,NPU (Neural Processing Unit),AI (Artificial Intelligence),display type,graphics card,display size,operating system,product type,model/chipset number,model series,generation/release,color,operating system architecture,processor speed,capacity,RAM,connectivity technology,ports,touch display,display resolution,cam resolution,multimedia features,special features,fingerprint,battery type,width,height/length,depth,weight,card reader,Shipping Weight (kg),Renewed Grade,Renewed Remarks
Honor MagicBook Art 14 Laptop,"5,999",24,12 Months,Manufacturer,645900,5301ALGX,Intel Core Ultra 7 155H,Intel AI Boost,Yes,OLED Display,Intel Arc Graphics,"14.6""",Windows 11 Home,Laptop,,Honor MagicBook,2024,Emerald Green,64 bit,up to 4.8 GHz,1 TB,32 GB RAM,Wi-Fi (6E)/Bluetooth (5.3),HDMI/USB/USB-C/Thunderbolt 4/Audio Combo Port,Yes,3120 X 2080,1080p HD Camera,"6 Speakers, Spatial Audio",,Yes,Lithium Polymer (Li-Po),22.36 cm ( 8.80 in ),31.67 cm ( 12.47 in ),1.15 cm ( .45 in ),1.03 kg ( 2.27 lb ),,,,
Renewed Grade B Apple MacBook Pro 14 M3 Retina XDR Laptop,"6,499",3,Not Applicable,JARIR,638211,MTL83ABARB,M3 8-core CPU,,,Liquid Retina XDR Display,10-core GPU,"14.2""",macOS Sonoma,Laptop,,Apple MacBook Pro,2023,Space Grey,,,1 TB SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,1080p FaceTime HD Camera,High Fidelity Six-speakers,,Yes,Lithium Polymer (Li-Po),,,,1.55 kg ( 3.42 lb ),Yes,,Renewed Grade B,626814
Huawei MateBook X Pro Laptop,"8,499",24,12 Months,Manufacturer,635355,VGHH9221TM,Intel Core Ultra 9 185H,Intel AI Boost,Yes,3K OLED Display,Intel Arc Graphics,"14.2""",Windows 11 Home,Laptop,,Huawei MateBook,2024,Morandi Blue,64 bit,P-core: 2.3 - 5.1 GHz/E-core: 1.8 - 3.8 GHz,2 TB PCIe NVMe M.2 SSD,32 GB RAM,Wi-Fi (6E)/Bluetooth (5.3),USB 3.2/USB-C/Thunderbolt 4,Yes,3120 X 2080,1080p HD Camera,"6 Speakers, 4 Microphone",,Yes,Lithium Polymer (Li-Po),310.00 mm ( 12.20 in ),222.00 mm ( 8.74 in ),13.50 mm ( .53 in ),980.00 g ( 2.16 lb ),,,,
Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenovo IdeaPad 5 Pro Laptop,"4,699",24,12 Months,Manufacturer,610943,83AQ0036AD,Intel Core i7-13700H (13th Gen),,,2.5K Display,NVIDIA GeForce RTX 3050 (6 GB),"16""",Windows 11,Laptop,16IRH8,Lenovo IdeaPad,2023,Arctic Grey,64 bit,2.4 - 5 GHz,512 GB NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (DisplayPort 1.4)/Audio Combo Port,,2560 X 1600 (WQXGA),1080p HD Camera + IR Camera + TOF,"Dolby Atmos Sound System, (2 X 2W) Speakers",,,Lithium Ion (Li-Ion),35.60 cm ( 14.02 in ),25.10 cm ( 9.88 in ),1.79 cm ( .70 in ),2.00 kg ( 4.41 lb ),,,,
Lenovo Yoga Slim 6 Laptop,"3,729",24,12 Months,Manufacturer,627986,83E00030AD,Intel Core i7-13700H (13th Gen),,,WUXGA-OLED 400N,Intel Iris Xe Graphics,"14""",Windows 11 Home,Laptop,14IRH8,Lenovo Yoga,2023,Misty Grey,64 bit,P-core: 2.4 - 5.0 GHz/E-core: 1.8 - 3.7 GHz,512 GB NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (Thunderbolt 4/DisplayPort 1.4)/Audio Combo Port,,1920 X 1200 (WUXGA),FHD 1080p with Privacy Shutter,"Dolby Atmos Sound System, (2 X 2W) Speakers","Backlit Keyboard, Low Blue Light",Yes,Lithium Polymer (Li-Po) - 4 Cell,31.20 cm ( 12.28 in ),22.10 cm ( 8.70 in ),1.49 cm ( .59 in ),1.35 kg ( 2.98 lb ),,,,
Apple MacBook Air 13 M3 Laptop,"5,199",24,12 Months,Manufacturer,646466,MC8G4ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,8-core GPU,"13.6""",macOS Sequoia,Laptop,,Apple MacBook Air,2024,Space Grey,,,256 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.10 cm ( .43 in ),1.24 kg ( 2.73 lb ),,,,
Asus Vivobook 16 Laptop,"2,399",24,12 Months,Manufacturer,619785,X1605VAMB065W,Intel Core i7-1355U (13th Gen),,,WUXGA Anti-glare Display,Intel UHD Graphics,"16""",Windows 11,Laptop,X1605,Asus VivoBook,2023,Indie Black,64 bit,1.7 GHz,512 GB PCIe NVMe M.3 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/USB-C/Audio Combo Port,,1920 X 1200 (WUXGA),720p HD Camera with Privacy Shutter,SonicMaster,,,Lithium Ion (Li-Ion) - 3 Cell,35.87 cm ( 14.12 in ),24.95 cm ( 9.82 in ),1.99 cm ( .78 in ),1.88 kg ( 4.14 lb ),,,,
Apple MacBook Air 13 M3 Laptop,"5,199",24,12 Months,Manufacturer,632648,MRXQ3ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,8-core GPU,"13.6""",macOS Sonoma,Laptop,,Apple MacBook Air,2024,Silver,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.13 cm ( .44 in ),1.24 kg ( 2.73 lb ),,,,
Apple MacBook Pro 14 M3 Pro Retina XDR Laptop,"11,299",24,12 Months,Manufacturer,626810,MRX43ABA,M3 Pro 12-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,18-core GPU,"14.2""",macOS Sonoma,Laptop,,Apple MacBook Pro,2023,Space Black,,,1 TB SSD,18 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,1080p FaceTime HD Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Polymer (Li-Po),31.26 cm ( 12.31 in ),22.10 cm ( 8.70 in ),1.55 cm ( .61 in ),1.61 kg ( 3.55 lb ),Yes,,,
Huawei MateBook 14 Laptop,"4,999",24,12 Months,Manufacturer,638523,53014APF,Intel Core Ultra 7 155H,Intel AI Boost,Yes,OLED Display,Intel Arc Graphics,"14.2""",Windows 11 Home,Laptop,W7611T,Huawei MateBook,2024,Green,64 bit,P-core: 1.4 - 4.8 GHz/E-core: 0.9 - 3.8 GHz,1 TB M.2 NVMe PCIe 4.0 SSD,16 GB RAM,Wi-Fi (6)/Bluetooth (5.1),HDMI 1.4/USB 3.2/USB-C/Audio Combo Port,,2880 X 1920,FHD (2 MP) Webcam,Built-in Mic/Speakers,Full Size Keyboard,Yes,Lithium Polymer (Li-Po),312.60 mm ( 12.31 in ),226.80 mm ( 8.93 in ),15.90 mm ( .63 in ),1.31 kg ( 2.89 lb ),,,,
Asus Vivobook Go 15 OLED Laptop,"1,899",24,12 Months,Manufacturer,620616,E1504FAOLED0W,AMD Ryzen 5-7520U,,,FHD-OLED Display,AMD Radeon Graphics,"15.6""",Windows 11,Laptop,E1504,Asus VivoBook,2023,Green Grey,64 bit,2.8 GHz,512 GB PCIe NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/USB-C/Audio Combo,,1920 X 1080 (FHD),720p HD Camera with Privacy Shutter,Built-in Mic/Speaker/SonicMaster,,,Lithium Ion (Li-Ion) - 3 Cell,36.03 cm ( 14.19 in ),23.25 cm ( 9.15 in ),1.79 cm ( .70 in ),1.63 kg ( 3.59 lb ),,,,
Apple MacBook Air 15 M3 Laptop,"5,999",24,12 Months,Manufacturer,646478,MC9G4ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Sequoia,Laptop,,Apple MacBook Air,2024,Midnight,,,256 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
Apple MacBook Pro 16 M4 Max Retina XDR Laptop,"16,199",24,12 Months,Manufacturer,646497,MX2V3ABA,M4 Max 14-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,32-core GPU,"16""",macOS Sequoia,Laptop,,Apple MacBook Pro,2024,Silver,,,1 TB SSD,36 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 5/3.5 mm Headphone Jack,,3456 X 2234,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Polymer (Li-Po),35.57 cm ( 14.00 in ),24.81 cm ( 9.77 in ),1.68 cm ( .66 in ),2.14 kg ( 4.72 lb ),Yes,,,
Asus Vivobook 15 Laptop,"2,799",24,12 Months,Manufacturer,635965,X1504VANJ121W,Intel Core i7-1355U (13th Gen),,,FHD-LED Anti-glare Display,Intel Iris Xe Graphics,"15.6""",Windows 11 Home,Laptop,X1504,Asus VivoBook,2023,Quiet Blue,64 bit,1.7 GHz,512 GB PCIe NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/USB-C/Audio Combo Port,,1920 X 1080 (FHD),720p HD Camera with Privacy Shutter,"SonicMaster Audio, Built-in Speaker",Chiclet Keyboard,,Lithium Ion (Li-Ion) - 3 Cell,35.87 cm ( 14.12 in ),24.99 cm ( 9.84 in ),1.99 cm ( .78 in ),1.88 kg ( 4.14 lb ),,,,
Apple MacBook Air 15 M3 Laptop,"7,899",24,12 Months,Manufacturer,632667,MXD43ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Sonoma,Laptop,,Apple MacBook Air,2024,Midnight,,,512 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
Apple MacBook Air 15 M2 Laptop,"5,799",24,12 Months,Manufacturer,619140,MQKU3ABA,M2 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Ventura,Laptop,,Apple MacBook Air,2023,Starlight,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Six-speaker Sound System,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
Apple MacBook Pro 14 M3 Retina XDR Laptop,"6,899",24,12 Months,Manufacturer,626813,MR7J3ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,10-core GPU,"14.2""",macOS Sonoma,Laptop,,Apple MacBook Pro,2023,Silver,,,512 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,1080p FaceTime HD Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Polymer (Li-Po),,,,1.55 kg ( 3.42 lb ),Yes,,,
Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple MacBook Pro 16 M3 Pro Retina XDR Laptop,"10,899",24,12 Months,Manufacturer,626815,MRW13ABA,M3 Pro 12-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,18-core GPU,"16""",macOS Sonoma,Laptop,,Apple MacBook Pro,2023,Space Black,,,512 GB SSD,18 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,1080p FaceTime HD Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Polymer (Li-Po),,,,2.14 kg ( 4.72 lb ),Yes,,,
Apple MacBook Air 13 M2 Retina Laptop,"4,499",24,12 Months,Manufacturer,589181,MLY13ABA,M2 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Retina Display,8-core GPU,"13.6""",macOS Monterey,Laptop,,Apple MacBook Air,2022,Starlight,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Ion Polymer (Li-Poly),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.10 cm ( .43 in ),1.24 kg ( 2.73 lb ),,,,
Lenovo Yoga Pro 7 Laptop,"7,329",24,12 Months,Manufacturer,630836,83E2006FAD,Intel Core Ultra 9 185H,,,3K IPS 400N 120 Hz Display,NVIDIA GeForce RTX 4060 (8 GB),"14.5""",Windows 11 Home,Laptop,14IMH9,Lenovo Yoga,2024,Luna Grey,64 bit,P-core: 2.3 - 5.1 GHz/E-core: 1.8 - 3.8 GHz,1 TB PCIe NVMe M.2 SSD,32 GB RAM,Wi-Fi (6E)/Bluetooth (5.3),HDMI/USB 3.2/USB-C (Thunderbolt 4/DisplayPort 1.4)/Audio Combo Port,Yes,3072 X 1920,FHD 1080p with E-shutter,"4 Speakers, Dolby Atmos Audio",,,Lithium Polymer (Li-Po),32.55 cm ( 12.81 in ),22.60 cm ( 8.90 in ),1.60 cm ( .63 in ),1.59 kg ( 3.51 lb ),,,,
Asus Vivobook 15 Laptop,"2,399",24,12 Months,Manufacturer,635971,X1504VANJ123W,Intel Core i5-1335U (13th Gen),,,FHD-LED Anti-glare Display,Intel UHD Graphics,"15.6""",Windows 11,Laptop,X1504,Asus VivoBook,2023,Quiet Blue,64 bit,1.3 GHz,512 GB PCIe NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/USB-C/Audio Combo Port,,1920 X 1080 (FHD),720p HD Camera with Privacy Shutter,"SonicMaster Audio, Built-in Speaker",Chiclet Keyboard,,Lithium Ion (Li-Ion) - 3 Cell,35.87 cm ( 14.12 in ),24.99 cm ( 9.84 in ),1.99 cm ( .78 in ),1.88 kg ( 4.14 lb ),,,,
Asus Vivobook Go 15 OLED Laptop,"2,099",24,12 Months,Manufacturer,641085,E1504FAL1522W,AMD Ryzen 5-7520U,,,FHD-OLED Display,AMD Radeon Graphics,"15.6""",Windows 11 Home,Laptop,E1504,Asus VivoBook,2023,Green Grey,64 bit,2.8 GHz,512 GB PCIe NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/USB-C/Audio Combo Port,,1920 X 1080 (FHD),720p HD Camera with Privacy Shutter,Built-in Mic/Speaker/SonicMaster,,,Lithium Ion (Li-Ion) - 3 Cell,36.00 cm ( 14.17 in ),23.20 cm ( 9.13 in ),1.70 cm ( .67 in ),1.63 kg ( 3.59 lb ),,,,
Apple MacBook Air 13 M3 Laptop,"6,199",24,12 Months,Manufacturer,632653,MRXP3ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"13.6""",macOS Sonoma,Laptop,,Apple MacBook Air,2024,Space Grey,,,512 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.13 cm ( .44 in ),1.24 kg ( 2.73 lb ),,,,
Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Pavilion Plus 14-ew1001nx Laptop,"5,499",24,12 Months,Manufacturer,634878,9Y9S8EAA2N,Intel Core Ultra 7 155H,Intel AI Boost,Yes,2.8K OLED Display,Intel Arc Graphics,"14""",Windows 11 Home,Laptop,Intel Integrated SoC,HP Pavilion Plus,2024,Natural Silver,64 bit,4.8 GHz,1 TB PCIe NVMe M.2 SSD,32 GB RAM,Wi-Fi (6E)/Bluetooth (5.3),HDMI/USB/USB-C (DisplayPort 2.1/Thunderbolt 4)/Audio Combo Port,,2880 X 1800 (OLED),Wide Vision 5 MP IR Camera,"DTS:X Ultra, Dual Speakers, HP Audio Boost","Backlit Keyboard, IMAX Enhanced, Low Blue Light, Poly Studio, Micro-edge",,Lithium Ion Polymer (Li-Poly) - 4 Cell,31.40 cm ( 12.36 in ),22.70 cm ( 8.94 in ),1.89 cm ( .74 in ),1.44 kg ( 3.17 lb ),,,,
Microsoft Surface Laptop 7 Laptop,"6,299",24,Not Applicable,JARIR,639200,ZGP00079,Snapdragon X Elite 12 Core,Qualcomm Hexagon NPU 45 TOPS,Yes,PixelSense Flow,Qualcomm Adreno GPU,"13.8""",Windows 11 Home,Laptop,ZGP-00079,Microsoft Surface Laptop 7,2024,Dune,,3.4 GHz,512 GB SSD,16 GB RAM,Wi-Fi (7)/Bluetooth (5.4),USB-C/USB 3.1/Surface Connect/3.5 mm Connector,Yes,2304 X 1536,1080P FHD Camera,,CoPilot+,,Lithium Ion (Li-Ion) - 6 Cell,11.85 in ( 30.10 cm ),8.67 in ( 22.02 cm ),.69 in ( 17.53 mm ),1.20 kg ( 2.65 lb ),,,,
Dell Vostro 3520 Laptop,"3,299",24,12 Months,Manufacturer,646306,VOSTROI7,Intel Core i7-1255U (12th Gen),,,FHD AG 250N WVA Display,Intel UHD Graphics,"15.6""",Windows 11 Home,Laptop,3520,Dell Vostro,2024,Carbon Black,64 bit,up to 4.7 GHz,512 GB NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/RJ-45/Audio Combo Port,,1920 X 1080 (FHD),720p HD Camera,Built-in Dual Stereo Speakers,,Yes,Lithium Ion (Li-Ion) - 4 Cell,35.85 cm ( 14.11 in ),23.56 cm ( 9.28 in ),2.25 cm ( .89 in ),1.66 kg ( 3.66 lb ),Yes,,,
Huawei MateBook D 15 Laptop,"3,449",24,12 Months,Manufacturer,608554,BODEWFE9,Intel Core i7-1195G7 (11th Gen),,,FHD-LED Display,Intel Iris Xe Graphics,"15.6""",Windows 11,Laptop,,Huawei MateBook,2022,Mystic Silver,64 bit,2.9 GHz,512 GB NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/USB-C/Audio Combo Port,,1920 X 1080 (WUXGA),720P HD Recessed Camera,2W x 2 Speakers,,Yes,Lithium Polymer (Li-Po) - 3 Cell,35.70 cm ( 14.06 in ),22.90 cm ( 9.02 in ),1.69 cm ( .67 in ),1.56 kg ( 3.44 lb ),,,,
HP Laptop,"3,399",24,12 Months,Manufacturer,618668,8F1N4EAA2N,Intel Core i7-1355U (13th Gen),,,FHD IPS AG 250N,Intel Iris Xe Graphics,"15.6""",Windows 11,Laptop,15-fd0000nx,HP Notebook,2023,Natural Silver,64 bit,P-core: 1.7 - 5.0 GHz/E-core: 1.2 - 3.7 GHz,512 GB NVMe M.2 SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.1/USB-C/Audio Combo Port,,1920 X 1080 (FHD),True Vision FHD Webcam,Built-in Speakers/Mic,,,Lithium Ion Polymer (Li-Poly) - 3 Cell,35.90 cm ( 14.13 in ),23.60 cm ( 9.29 in ),1.80 cm ( .71 in ),1.50 kg ( 3.31 lb ),,,,
Apple MacBook Pro 14 M4 Retina XDR Laptop,"8,499",24,12 Months,Manufacturer,646488,MW2X3ABA,M4 10-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,10-core GPU,"14.2""",macOS Sequoia,Laptop,,Apple MacBook Pro,2024,Silver,,,1 TB SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",,Lithium Polymer (Li-Po),31.26 cm ( 12.31 in ),22.10 cm ( 8.70 in ),1.55 cm ( .61 in ),1.55 kg ( 3.42 lb ),Yes,,,
Lenovo ThinkPad E14 Gen 6 Laptop,"4,799",24,12 Months,Manufacturer,643349,21M7000GGR,Intel Core Ultra 5 125U,Intel AI Boost,Yes,WUXGA Anti-glare Display,Intel Graphics,"14""",Windows 11 Pro,Laptop,,Lenovo ThinkPad,2024,Black,64 bit,,512 GB NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI 2.1 (4K@60Hz)/USB 3.2/USB-C (PD 3.0/DisplayPort 1.4)/RJ-45/Audio Combo Port,,1920 X 1200 (WUXGA),FHD 1080p + IR Hybrid with Privacy Shutter,"Dolby Atmos Sound System, (2 X 2W) Speakers",,Yes,Lithium Polymer (Li-Po),31.30 cm ( 12.32 in ),21.93 cm ( 8.63 in ),1.80 cm ( .71 in ),1.44 kg ( 3.17 lb ),,,,
Renewed Grade B Apple MacBook Pro 14 M2 Pro Retina XDR Laptop,"6,499",3,Not Applicable,JARIR,620232,MPHE3ABARB,M2 Pro 10-core CPU 16-core Neural Engine,,,Liquid Retina XDR Display,16-core GPU,"14.2""",macOS Ventura,Laptop,,Apple MacBook Pro,2023,Space Grey,,,512 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Out,,3024 X 1964,1080p FaceTime HD Camera,High Fidelity Six-speakers,,Yes,Lithium Ion Polymer (Li-Poly),31.26 cm ( 12.31 in ),22.12 cm ( 8.71 in ),1.55 cm ( .61 in ),1.60 kg ( 3.53 lb ),Yes,,Renewed Grade B,607894
Renewed Grade A Apple MacBook Air 13 M2 Retina Laptop,"2,999",6,Not Applicable,JARIR,627541,MLY33ABARA,M2 8-core CPU 16-core Neural Engine,,,Retina Display,8-core GPU,"13.6""",macOS Monterey,Laptop,,Apple MacBook Air,2022,Midnight,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Ion Polymer (Li-Poly),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.10 cm ( .43 in ),1.24 kg ( 2.73 lb ),,,Renewed Grade A,589224
Asus Zenbook DUO Laptop (with Sleeve Case & Stylus),"7,799",24,12 Months,Manufacturer,630076,UX8406MAI9IG,Intel Core Ultra 9 185H,Intel AI Boost,Yes,3K OLED 120 Hz Dual Screen,Intel Arc Graphics,"14""",Windows 11 (with Windows 11 Copilot),Laptop (with Sleeve Case & Stylus),UX8406MA-OLEDI9IG,Asus ZenBook Duo,2024,Inkwell Grey,64 bit,2.3 GHz,2 TB M.2 PCIe NVMe 4.0 SSD,32 GB RAM,Wi-Fi (6E)/Bluetooth (5.3),HDMI 2.1/USB 3.2/Thunderbolt 4/Audio Combo Port,Yes,2880 X 1800 (OLED),FHD IR Camera,"Harman Kardon(Premium)/Smart Amp Technology, Built-in Speaker and Microphone","Dual Screen, Soft Keyboard, 0.2 ms Response Time",,Lithium Ion (Li-Ion) - 4 Cell,31.35 cm ( 12.34 in ),21.79 cm ( 8.58 in ),1.99 cm ( .78 in ),1.65 kg ( 3.64 lb ),,,,
Apple MacBook Air 15 M3 Laptop,"6,999",24,12 Months,Manufacturer,632677,MRYV3ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Sonoma,Laptop,,Apple MacBook Air,2024,Midnight,,,512 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
Dell Vostro 3520 Laptop,"1,849",24,12 Months,Manufacturer,646300,VOSTROI3,Intel Core i3-1215U (12th Gen),,,FHD AG 250N WVA Display,Intel UHD Graphics,"15.6""",Windows 11 Home,Laptop,3520,Dell Vostro,2024,Carbon Black,64 bit,up to 4.4 GHz,512 GB NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.2/RJ-45/Audio Combo Port,,1920 X 1080 (FHD),720p HD Camera,Built-in Dual Stereo Speakers,,Yes,Lithium Ion (Li-Ion) - 3 Cell,35.85 cm ( 14.11 in ),23.56 cm ( 9.28 in ),2.25 cm ( .89 in ),1.66 kg ( 3.66 lb ),Yes,,,
Apple MacBook Pro 14 M4 Retina XDR Laptop,"9,399",24,12 Months,Manufacturer,646485,MCX14ABA,M4 10-core CPU,16-core Neural Engine,Yes,Liquid Retina XDR Display,10-core GPU,"14.2""",macOS Sequoia,Laptop,,Apple MacBook Pro,2023,Silver,,,1 TB SSD,24 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,12 MP Center Stage Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",,Lithium Polymer (Li-Po),31.26 cm ( 12.31 in ),22.10 cm ( 8.70 in ),1.55 cm ( .61 in ),1.55 kg ( 3.42 lb ),Yes,,,
Apple MacBook Air 15 M3 Laptop,"7,899",24,12 Months,Manufacturer,646480,MC9H4ABA,M3 8-core CPU,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Sequoia,Laptop,,Apple MacBook Air,2024,Space Grey,,,512 GB SSD,24 GB RAM,Wi-Fi/Bluetooth,Thunderbolt/USB-4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Built-in Mic/Speakers,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.51 kg ( 3.33 lb ),,,,
Apple MacBook Air 13 M2 Retina Laptop,"5,699",24,12 Months,Manufacturer,589225,MLXX3ABA,M2 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Retina Display,10-core GPU,"13.6""",macOS Monterey,Laptop,,Apple MacBook Air,2022,Space Grey,,,512 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Ion Polymer (Li-Poly),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.10 cm ( .43 in ),1.24 kg ( 2.73 lb ),,,,
