Product Title,Product Price,Warranty Period (Months),Accesorises warranty,Warranted by,SKU,Manufacturer Number,processor type,NPU (Neural Processing Unit),AI (Artificial Intelligence),display type,graphics card,display size,operating system,product type,model/chipset number,model series,generation/release,color,operating system architecture,processor speed,capacity,RAM,connectivity technology,ports,touch display,display resolution,cam resolution,multimedia features,special features,fingerprint,battery type,width,height/length,depth,weight,card reader,Shipping Weight (kg),Renewed Grade,Renewed Remarks
HP Pavilion Plus 14-ew1008nx Laptop,"3,799",24,12 Months,Manufacturer,634888,9Y9T5EAA2N,Intel Core Ultra 5 125H,Intel AI Boost,Yes,2.8K OLED Display,Intel Arc Graphics,"14""",Windows 11 Home,Laptop,Intel Integrated SoC,HP Pavilion Plus,2024,Moonlight Blue,64 bit,4.5 GHz,512 GB PCIe Gen 4 NVMe M.2 SSD,16 GB RAM,Wi-Fi (6E)/Bluetooth (5.3),HDMI/USB/USB-C (DisplayPort 2.1/Thunderbolt 4)/Audio Combo Port,,2880 X 1800 (OLED),Wide Vision 5 MP IR Camera,"DTS:X Ultra, Dual Speakers, HP Audio Boost","Backlit Keyboard, IMAX Enhanced, Low Blue Light, Poly Studio, Micro-edge",,Lithium Ion Polymer (Li-Poly) - 4 Cell,31.40 cm ( 12.36 in ),22.70 cm ( 8.94 in ),1.89 cm ( .74 in ),1.44 kg ( 3.17 lb ),,,,
Acer Swift Go 14 Laptop,"3,029",24,12 Months,Manufacturer,631034,NXKSGEM001,Intel Core Ultra 5 125H (Evo),,,2.8K OLED Display,Intel Arc Graphics,"14""",Windows 11,Laptop,SFG14-72,Acer Swift,2024,Silver,64 bit,1.2 - 4.5 GHz,512 GB SSD,16 GB RAM,Wi-Fi (6E)/Bluetooth (5.0),HDMI/USB 3.2/USB-C,,2880 X 1800 (OLED),QHD Webcam,Built-in Mic/Speakers,Backlit Keyboard,Yes,Lithium Ion (Li-Ion),31.20 cm ( 12.28 in ),21.70 cm ( 8.54 in ),1.49 cm ( .59 in ),1.20 kg ( 2.65 lb ),Yes,,,
HP EliteBook 840 G11 Laptop,"6,519",24,12 Months,Manufacturer,637652,927P2ESA2N,Intel Core Ultra 7 155U,Intel AI Boost,Yes,WUXGA IPS AG Display,Intel Arc Graphics,"14""",Windows 11 Pro,Laptop,,HP EliteBook,2024,Silver,64 bit,3.8 GHz,1 TB NVMe PCIe Gen 4×4 SSD,32 GB RAM,Wi-Fi (6E)/Bluetooth (5.3),HDMI 2.1/USB/USB-C/Audio Combo Port,,1920 X 1200 (WUXGA),5 MP Webcam IR Camera,Built-in Dual Speakers,"Commercial Device, Ultra Processor, Windows Professional",Yes,Lithium Ion Polymer (Li-Poly) - 3 Cell,31.56 cm ( 12.43 in ),22.43 cm ( 8.83 in ),1.16 cm ( .46 in ),1.41 kg ( 3.11 lb ),,,,
Apple MacBook Pro 14 M3 Pro Retina XDR Laptop,"9,499",24,12 Months,Manufacturer,626776,MRX33ABA,M3 Pro 11-core CPU,,,Liquid Retina XDR Display,14-core GPU,"14.2""",macOS Sonoma,Laptop,,Apple MacBook Pro,2023,Space Black,,,512 GB SSD,18 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Jack,,3024 X 1964,1080p FaceTime HD Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Polymer (Li-Po),31.26 cm ( 12.31 in ),22.10 cm ( 8.70 in ),1.55 cm ( .61 in ),1.61 kg ( 3.55 lb ),Yes,,,
Apple MacBook Pro 14 M2 Pro Retina XDR Laptop,"8,399",24,12 Months,Manufacturer,607894,MPHE3ABA,M2 Pro 10-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Liquid Retina XDR Display,16-core GPU,"14.2""",macOS Ventura,Laptop,,Apple MacBook Pro,2023,Space Grey,,,512 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,HDMI/Thunderbolt 4/3.5 mm Headphone Out,,3024 X 1964,1080p FaceTime HD Camera,High Fidelity Six-speakers,"Retina XDR Display, Touch ID",Yes,Lithium Ion Polymer (Li-Poly),31.26 cm ( 12.31 in ),22.12 cm ( 8.71 in ),1.55 cm ( .61 in ),1.60 kg ( 3.53 lb ),Yes,,,
Apple MacBook Air 13 M2 Retina Laptop,"4,499",24,12 Months,Manufacturer,646462,MC7U4ABA,M2 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Retina Display,8-core GPU,"13.6""",macOS Sequoia,Laptop,,Apple MacBook Air,2024,Space Grey,,,256 GB SSD,16 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2560 X 1664,1080p FaceTime HD Camera,Built-in Mic/Speakers,,,Lithium Polymer (Li-Po),30.41 cm ( 11.97 in ),21.50 cm ( 8.46 in ),1.10 cm ( .43 in ),1.24 kg ( 2.73 lb ),,,,
Huawei MateBook D 16 2024 Laptop,"3,499",24,12 Months,Manufacturer,628657,MCLGW5611D,Intel Core i5-13420H (13th Gen),,,FHD-IPS Anti-glare,Intel UHD Graphics,"16""",Windows 11,Laptop,,Huawei MateBook,2024,Mystic Silver,64 bit,P-core: 2.1 - 4.6 GHz/E-core: 1.5 - 3.4 GHz,1 TB SSD,16 GB RAM,Wi-Fi/Bluetooth,USB 3.2/USB-C/Audio Combo Port,,1920 X 1200 (WUXGA),FHD Webcam,2 X 2W Speakers,,Yes,Lithium Polymer (Li-Po),35.67 cm ( 14.04 in ),24.80 cm ( 9.76 in ),1.80 cm ( .71 in ),1.73 kg ( 3.81 lb ),,,,
Lenovo IdeaPad Slim 3 Laptop,"1,499",24,12 Months,Manufacturer,623277,82X60032AD,Intel Core i3-1305U (13th Gen),,,FHD IPS AG 300N,Intel UHD Graphics,"14""",Windows 11,Laptop,14IRU8,Lenovo IdeaPad,2023,Arctic Grey,64 bit,P-core: 1.6 - 4.5 GHz/E-core: 1.2 - 3.3 GHz,256 GB NVMe M.2 SSD,8 GB RAM,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (DisplayPort 1.2)/Audio Combo Port,,1920 X 1080 (FHD),720p HD Camera with Privacy Shutter,"Dolby Audio, Stereo Speakers (2 X 1.5 W)",,Yes,Lithium Ion (Li-Ion),32.40 cm ( 12.76 in ),21.30 cm ( 8.39 in ),1.79 cm ( .70 in ),1.37 kg ( 3.02 lb ),Yes,,,
Apple MacBook Air 15 M2 Laptop,"5,199",24,12 Months,Manufacturer,619124,MQKP3ABA,M2 8-core CPU 16-core Neural Engine,16-core Neural Engine,Yes,Liquid Retina Display,10-core GPU,"15.3""",macOS Ventura,Laptop,,Apple MacBook Air,2023,Space Grey,,,256 GB SSD,8 GB RAM,Wi-Fi/Bluetooth,Thunderbolt 3/USB 4/3.5 mm Headphone Jack,,2880 X 1864,1080p FaceTime HD Camera,Six-speaker Sound System,,Yes,Lithium Polymer (Li-Po),34.04 cm ( 13.40 in ),23.76 cm ( 9.35 in ),1.15 cm ( .45 in ),1.50 kg ( 3.31 lb ),,,,
Asus Zenbook S 14 OLED with Copilot Key Laptop,"5,899",24,12 Months,Manufacturer,639434,UX5406SU731WG,Intel Core Ultra 7 258V 32 GB,Intel AI Boost up to 47 TOPS,Yes,3K OLED 120 Hz,Intel Arc Graphics,"14""",Windows 11 Home,Laptop,UX5406SA-OLEDU7,Asus ZenBook,2024,Zumaia Grey,64 bit,1.8 GHz,1 TB M.2 NVMe PCIe 4.0 SSD,32 GB RAM,Wi-Fi (7)/Bluetooth (5.4),HDMI 2.1/USB 3.2/Thunderbolt 4/Audio Combo Port,,2880 X 1800 (OLED),FHD IR Camera,"Built-in Speaker/Microphone, Smart Amp Technology, Harman/Kardon (Premium)","Copilot Key, Backlit Chiclet Keyboard",,Lithium Ion (Li-Ion) - 4 Cell,31.03 cm ( 12.22 in ),21.47 cm ( 8.45 in ),1.29 cm ( .51 in ),1.20 kg ( 2.65 lb ),,,,
