Product_Name,Product_Price,Warranty_Period(Months),Processor_Type,Screen_Size(inch),Operating_System,Color,Storage_Capacity,RAMGB,Touch_Display,Battery_Type,Storage_Type,Storage_Capacity_GB,Pixels_Width,Pixels_Height,Processor_Type_encoded,Operating_System_encoded,Color_encoded,Battery_Type_encoded,Storage_Type_encoded,kmeans
HP 250 G10,2999,24.0,Intel Core i7-1355U (13th Gen),15.6,Dos,Turbo silver with Aluminum Top Cover,512GB SSD M.2,16,False,"HP Long Life 3-cell, 41 Wh Li-ion",SSD M.2,512.0,1920,1080,70,0,74,23,14,0
Asus Vivobook Go 15 E1504GA-NJ340,1299,24.0,Intel Core i3-N305,15.6,Dos,Cool Silver,512GB SSD M.2,8,False,"3-cell Li-ion, 42WHrs, 3S1P",SSD M.2,512.0,1920,1080,41,0,8,4,14,0
MacBook Air 15-inch M3 (2024),7499,24.0,Apple M3 chip,15.3,macOS Sonoma,Midnight,512GB SSD,16,False,66.5-watt‑hour lithium‑polymer battery (Up to 18 hours),SSD,512.0,2880,1864,23,12,37,19,13,3
Asus Vivobook 14 Flip TP3402VA-LZ144W,3649,24.0,Intel Core i9-13900H (13th Gen),14.0,Windows 11 Home,Cool Silver,1TB SSD M.2,16,True,"3-cell Li-ion, 50WHrs, 3S1P",SSD M.2,1024.0,1920,1200,81,6,8,5,14,1
Asus TUF Gaming FX507VI-LP073,5999,24.0,Intel Core i7-13620H (13th Gen),15.6,Dos,Jaeger Gray,1TB SSD M.2,32,False,"90WHrs, 4S1P, 4-cell Li-ion",SSD M.2,1024.0,1920,1080,72,0,32,22,14,1
Asus Vivobook X1504VA-NJ107,2599,24.0,Intel Core i7-1355U (13th Gen),15.6,Dos,Cool Silver,1TB SSD M.2,16,False,"3-cell Li-ion, 42WHrs, 3S1P",SSD M.2,1024.0,1920,1080,70,0,8,4,14,1
Latitude 3450,2599,24.0,Intel Core i7-1355U (13th Gen),14.0,Dos,Black,512GB SSD M.2,8,False,"3 Cell, Integrated 42Wh",SSD M.2,512.0,1920,1080,70,0,5,1,14,0
Apple MacBook Air M3,5799,24.0,Apple M3 chip,13.6,macOS Sonoma,Midnight,512GB SSD,8,False,52.6-watt‑hour lithium‑polymer battery,SSD,512.0,2560,1664,23,12,37,15,13,3
Lenovo ThinkPad E14 Gen 6 Intel,5799,24.0,Intel Core Ultra 5-125U,14.0,Dos,Black,512GB SSD M.2,8,False,Integrated 47Wh,SSD M.2,512.0,1920,1200,28,0,5,29,14,3
ThinkPad X1 Yoga Gen 8,5799,36.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11 Professional,Storm Grey,1TB SSD M.2,32,True,Integrated 57Wh,SSD M.2,1024.0,1920,1200,70,8,70,31,14,1
ThinkPad E16 Gen 1 (Intel),5799,24.0,Intel Core i5-1335U (13th Gen),16.0,Dos,Graphite Black,256GB SSD M.2,8,False,Integrated 47Wh,SSD M.2,256.0,1920,1200,53,0,22,29,14,3
Lenovo Legion Pro 5 16IRX9,5899,24.0,Intel Core i7-14650HX (14th Generation),16.0,Dos,Luna Grey,1TB SSD M.2,16,False,Integrated 80Wh,SSD M.2,1024.0,2560,1600,77,0,33,36,14,1
Lenovo Gaming LOQ 15APH8,3499,24.0,AMD Ryzen 7-7840HS,15.6,Dos,Storm Grey,512GB SSD M.2,16,False,Integrated 60Wh,SSD M.2,512.0,1920,1080,14,0,70,33,14,0
Asus Vivobook 14 Flip TP3402VA-LZ137W,2699,24.0,Intel Core i5-13500H (13th Gen),14.0,Windows 11 Home,Cool Silver,512GB SSD M.2,8,True,"3-cell Li-ion, 50WHrs, 3S1P",SSD M.2,512.0,1920,1200,58,6,8,5,14,0
ThinkPad E15 Gen 4,2699,24.0,Intel Core i7-1255U (12th Gen),15.6,Dos,Black,512GB SSD,8,False,Lithium 3 Cell,SSD,512.0,1920,1080,64,0,5,39,13,0
Apple MacBook Pro M3 Pro,9299,24.0,Apple M3 Pro chip,14.2,macOS Sonoma,Silver,512GB SSD,18,False,72.4-watt-hour lithium-polymer battery,SSD,512.0,3024,1964,22,12,58,21,13,3
Asus Vivobook X1504ZA-NJ018,1499,24.0,Intel Core i5-1235U (12th Gen),15.6,Dos,Quiet Blue,512GB SSD M.2,8,False,"3-cell Li-ion, 42WHrs, 3S1P",SSD M.2,512.0,1920,1080,47,0,54,4,14,0
Lenovo IdeaPad Flex 5 14ALC7,2594,24.0,AMD Ryzen 7-5700U,14.0,Windows 11 Home,Storm Grey,512GB SSD M.2,16,True,Integrated 52.5Wh,SSD M.2,512.0,1920,1200,7,6,70,30,14,0
Apple MacBook Pro 14-inch M3 chip,8999,24.0,Apple M3 chip,14.2,macOS Sonoma,Space Gray,1TB SSD,16,False,70-watt-hour lithium-polymer battery,SSD,1024.0,3024,1964,23,12,63,20,13,1
Dell Latitude 3420,8999,24.0,Intel Core i5-1135G7 (11th Gen),14.0,Dos,Black,256GB SSD M.2,8,False,"3-cell, 41 Wh Li-ion",SSD M.2,256.0,1920,1080,45,0,5,6,14,3
Lenovo IdeaPad Flex 5 14IRU8,1999,24.0,Intel Core i3-1315U (13th Gen),14.0,Windows 11 Home,Arctic Grey,512GB SSD M.2,8,True,Integrated 52.5Wh,SSD M.2,512.0,1920,1200,39,6,2,30,14,0
HP ProBook 450 G10,1999,24.0,Intel Core i7-1355U (13th Gen),15.6,Dos,Silver,512GB SSD M.2,16,False,Lithium Ion (Li-Ion) 3 Cell,SSD M.2,512.0,1920,1080,70,0,58,46,14,0
Asus Vivobook X1605VA-MB328,2849,24.0,Intel Core i9-13900H (13th Gen),16.0,Dos,Indie Black,512GB SSD M.2,16,False,Lithium Ion (Li-Ion) 3 Cell,SSD M.2,512.0,1920,1200,81,0,29,46,14,0
ThinkPad E14 Gen 5 (Intel),2849,24.0,Intel Core i7-1355U (13th Gen),14.0,Dos,Graphite Black,512GB SSD,8,False,Integrated 47Wh,SSD,512.0,1920,1200,70,0,22,29,13,0
Lenovo ThinkPad E16 Gen 2 Intel,2849,24.0,Intel Core Ultra 7-155H,16.0,Dos,Black,512GB SSD M.2,16,False,Integrated 57Wh,SSD M.2,512.0,1920,1200,34,0,5,31,14,0
Lenovo Gaming LOQ 15IRH8,3999,24.0,Intel Core i7-13620H (13th Gen),15.6,Dos,Storm Grey,512GB SSD M.2,16,False,Integrated 60Wh,SSD M.2,512.0,1920,1080,72,0,70,33,14,0
HP 15s-fq5038nx,1899,24.0,Intel Core i5-1235U (12th Gen),15.6,Dos,Natural Silver,512GB SSD M.2,8,False,"3-cell, 41 Wh Li-ion",SSD M.2,512.0,1920,1080,47,0,43,6,14,0
Dell Vostro 15 3520,2899,24.0,Intel Core i7-1255U (12th Gen),15.6,Dos,Grey Aluminum,512GB SSD M.2,8,False,"4 Cell, integrated 54Wh",SSD M.2,512.0,1920,1080,64,0,27,9,14,0
Asus Vivobook Go 15 E1504GA-NJ255,1149,24.0,Intel Core i3-N305,15.6,Dos,Cool Silver,256GB SSD M.2,8,False,"3-cell Li-ion, 42WHrs, 3S1P",SSD M.2,256.0,1920,1080,41,0,8,4,14,0
MacBook Air M1 2020,2699,24.0,Apple M1 chip,13.3,macOS Big Sur,Space Gray,256GB SSD,8,False,Lithium Ion Polymer,SSD,256.0,2560,1600,19,9,63,47,13,0
IdeaPad Slim 5 14Q8X9,3699,24.0,Snapdragon X Plus X1P 42 100,15.6,Windows 11 Home,Cloud Grey,512GB SSD M.2,16,False,Integrated 57Wh,SSD M.2,512.0,1920,1200,102,6,7,31,14,0
