Product_Name,Product_Price,RAMGB,Storage_Capacity_GB,Storage_Type
Apple MacBook Pro 16-Inch M3 Pro,11299,18,512.0,SSD
ThinkBook 15 G4 IAP,11299,16,512.0,SSD M.2
apple MacBook Air M2 (2024),11299,16,256.0,SSD
Acer Nitro 5 AN515-58-937L,4549,16,512.0,SSD M.2
Dell G15 5530 Gaming,5399,16,512.0,SSD M.2
Apple MacBook Pro 14-inch M3 chip,8299,16,512.0,SSD
Apple MacBook Pro M3,7199,8,512.0,SSD
ThinkBook 14 G4 IAP,5499,8,512.0,SSD M.2
apple MacBook Air M2,5299,8,512.0,SSD
Apple MacBook Air M3,5699,8,512.0,SSD
apple MacBook Air M2,5299,8,512.0,SSD
ThinkPad T14 Gen 4 (Intel),5299,16,512.0,SSD M.2
Apple MacBook Air M3,6799,16,512.0,SSD
Apple MacBook Air M3,6799,16,512.0,SSD
Apple MacBook Air M3,6799,16,512.0,SSD
Apple MacBook Air M3,6799,16,512.0,SSD
Lenovo Legion 5 16IRX9,6299,16,512.0,SSD M.2
Apple MacBook Air M3,5799,8,512.0,SSD
Latitude 3450,8499,8,512.0,SSD M.2
Microsoft Surface Pro 9,5999,16,256.0,SSD M.2
HP Elite x360 1040 14 inch G9 2-in-1,5999,16,512.0,SSD M.2
Lenovo LOQ 15IRX9,4799,24,512.0,SSD M.2
Apple MacBook Pro M3 Pro,9299,18,512.0,SSD
Dell G15 5530 Gaming,5299,16,512.0,SSD M.2
Acer Gaming Predator Helios Neo 16 PHN16-71-71P2,5799,16,512.0,SSD M.2
Lenovo Gaming LOQ 16IRH8,4499,16,512.0,SSD M.2
Acer Gaming Predator Helios Neo 16 PHN16-71-74ZT,5299,16,512.0,SSD M.2
Apple MacBook Pro 16-Inch M3 Pro,11299,18,512.0,SSD
HP EliteBook 830 G8,6999,8,256.0,SSD M.2
Dell Latitude 5440,6999,16,512.0,SSD M.2
ThinkPad X1 Carbon Gen 11,6999,16,512.0,SSD M.2
ThinkPad E16 Gen 1 (Intel),6999,8,512.0,SSD M.2
apple MacBook Air M2 (2024),6999,16,256.0,SSD
Dell Latitude 3440,6999,8,512.0,SSD M.2
MacBook Air 15-inch M3 (2024),7499,16,512.0,SSD
Apple MacBook Air M3,5799,8,512.0,SSD
Lenovo ThinkPad E14 Gen 6 Intel,5799,8,512.0,SSD M.2
ThinkPad E16 Gen 1 (Intel),5799,8,256.0,SSD M.2
Apple MacBook Pro M3 Pro,9299,18,512.0,SSD
Dell Latitude 3420,8999,8,256.0,SSD M.2
